file_name,sample_start,sample_end,timestamp_start,timestamp_end,scream_type,video_id
4600fGWcn9o.wav,1579017,1999183.0,35.81,45.33,midfry,4600fGWcn9o
4600fGWcn9o.wav,2020012,2152867.0,45.81,48.82,midfry,4600fGWcn9o
4600fGWcn9o.wav,2161887,2486176.0,49.02,56.38,midfry,4600fGWcn9o
4600fGWcn9o.wav,2488192,2795520.0,56.42,63.39,clean,4600fGWcn9o
4600fGWcn9o.wav,2797600,3030794.0,63.44,68.73,midfry,4600fGWcn9o
4600fGWcn9o.wav,3038213,3084672.0,68.89,69.95,midfry,4600fGWcn9o
4600fGWcn9o.wav,3086592,3142852.0,69.99,71.27,midfry,4600fGWcn9o
4600fGWcn9o.wav,3156480,3217717.0,71.58,72.96,midfry,4600fGWcn9o
4600fGWcn9o.wav,3230384,3363072.0,73.25,76.26,midfry,4600fGWcn9o
4600fGWcn9o.wav,3376896,3496994.0,76.57,79.3,midfry,4600fGWcn9o
4600fGWcn9o.wav,3518047,3637451.0,79.77,82.48,midfry,4600fGWcn9o
4600fGWcn9o.wav,3661895,3727691.0,83.04,84.53,midfry,4600fGWcn9o
4600fGWcn9o.wav,3742966,3873408.0,84.87,87.83,midfry,4600fGWcn9o
4600fGWcn9o.wav,3886464,3926274.0,88.13,89.03,midfry,4600fGWcn9o
4600fGWcn9o.wav,3940992,4080768.0,89.36,92.53,midfry,4600fGWcn9o
4600fGWcn9o.wav,4087040,4400064.0,92.68,99.77,clean,4600fGWcn9o
4600fGWcn9o.wav,4408128,4662784.0,99.96,105.73,midfry,4600fGWcn9o
4600fGWcn9o.wav,4668416,4985208.0,105.86,113.04,clean,4600fGWcn9o
4600fGWcn9o.wav,4995694,5245058.0,113.28,118.94,midfry,4600fGWcn9o
4600fGWcn9o.wav,6073994,6411733.0,137.73,145.39,midfry,4600fGWcn9o
4600fGWcn9o.wav,6434499,6850057.0,145.91,155.33,midfry,4600fGWcn9o
4600fGWcn9o.wav,6882233,6997760.0,156.06,158.68,midfry,4600fGWcn9o
4600fGWcn9o.wav,7008320,7175040.0,158.92,162.7,midfry,4600fGWcn9o
4600fGWcn9o.wav,7175552,7201440.0,162.71,163.3,midfry,4600fGWcn9o
4600fGWcn9o.wav,7202448,7402970.0,163.32,167.87,midfry,4600fGWcn9o
4600fGWcn9o.wav,7828361,8357611.0,177.51,189.51,midfry,4600fGWcn9o
4600fGWcn9o.wav,8366604,9157737.0,189.72,207.66,clean,4600fGWcn9o
4600fGWcn9o.wav,9168065,9291499.0,207.89,210.69,midfry,4600fGWcn9o
4600fGWcn9o.wav,9323643,9801600.0,211.42,222.26,clean,4600fGWcn9o
4600fGWcn9o.wav,9822720,10177410.0,222.74,230.78,midfry,4600fGWcn9o
4600fGWcn9o.wav,10303304,10427522.0,233.64,236.45,midfry,4600fGWcn9o
4600fGWcn9o.wav,10799656,11044160.0,244.89,250.43,clean,4600fGWcn9o
4600fGWcn9o.wav,11048960,11278464.0,250.54,255.75,midfry,4600fGWcn9o
4600fGWcn9o.wav,11281644,11582592.0,255.82,262.64,clean,4600fGWcn9o
4600fGWcn9o.wav,11587968,11758061.0,262.77,266.62,midfry,4600fGWcn9o
4600fGWcn9o.wav,11864269,12214479.0,269.03,276.97,clean,4600fGWcn9o
4600fGWcn9o.wav,12229217,12491989.0,277.31,283.27,clean,4600fGWcn9o
4600fGWcn9o.wav,12521257,12863883.0,283.93,291.7,clean,4600fGWcn9o
4600fGWcn9o.wav,12885332,13052683.0,292.18,295.98,clean,4600fGWcn9o
4600fGWcn9o.wav,13058695,13208576.0,296.12,299.51,midfry,4600fGWcn9o
4600fGWcn9o.wav,13244416,13529088.0,300.33,306.78,midfry,4600fGWcn9o
4600fGWcn9o.wav,13559409,13876676.0,307.47,314.66,midfry,4600fGWcn9o
4600fGWcn9o.wav,13901960,14561254.0,315.24,330.19,midfry,4600fGWcn9o
GLu-E42-RmA.wav,757248,896116.0,17.17,20.32,midfry,GLu-E42-RmA
GLu-E42-RmA.wav,915664,1043940.0,20.76,23.67,midfry,GLu-E42-RmA
GLu-E42-RmA.wav,1069336,1205669.0,24.25,27.34,highfry,GLu-E42-RmA
GLu-E42-RmA.wav,1242112,1338682.0,28.17,30.36,midfry,GLu-E42-RmA
GLu-E42-RmA.wav,1352629,1967616.0,30.67,44.62,midfry,GLu-E42-RmA
GLu-E42-RmA.wav,1975680,2618776.0,44.8,59.38,clean,GLu-E42-RmA
GLu-E42-RmA.wav,2625161,2915670.0,59.53,66.11,midfry,GLu-E42-RmA
GLu-E42-RmA.wav,2919616,3235008.0,66.2,73.36,clean,GLu-E42-RmA
GLu-E42-RmA.wav,3331857,3614640.0,75.55,81.96,midfry,GLu-E42-RmA
GLu-E42-RmA.wav,3623074,3950699.0,82.16,89.59,highfry,GLu-E42-RmA
GLu-E42-RmA.wav,4002671,4608549.0,90.76,104.5,clean,GLu-E42-RmA
GLu-E42-RmA.wav,4638982,4920184.0,105.19,111.57,midfry,GLu-E42-RmA
GLu-E42-RmA.wav,4949326,5225491.0,112.23,118.49,midfry,GLu-E42-RmA
GLu-E42-RmA.wav,5306521,5930400.0,120.33,134.48,midfry,GLu-E42-RmA
GLu-E42-RmA.wav,5931296,6559132.0,134.5,148.73,clean,GLu-E42-RmA
GLu-E42-RmA.wav,6577248,6847727.0,149.14,155.28,midfry,GLu-E42-RmA
GLu-E42-RmA.wav,6860032,7168269.0,155.56,162.55,clean,GLu-E42-RmA
GLu-E42-RmA.wav,7555298,7850363.0,171.32,178.01,midfry,GLu-E42-RmA
GLu-E42-RmA.wav,8068304,8138034.0,182.95,184.54,midfry,GLu-E42-RmA
ebSxxr726_8.wav,3804481,4195611.0,86.27,95.14,highfry,ebSxxr726_8
ebSxxr726_8.wav,5074966,6188578.0,115.08,140.33,highfry,ebSxxr726_8
ebSxxr726_8.wav,6203326,6343796.0,140.66,143.85,highfry,ebSxxr726_8
ebSxxr726_8.wav,6350784,8944944.0,144.01,202.83,clean,ebSxxr726_8
ebSxxr726_8.wav,10796160,10848096.0,244.81,245.99,lowfry,ebSxxr726_8
ebSxxr726_8.wav,10850112,10898496.0,246.03,247.13,highfry,ebSxxr726_8
ebSxxr726_8.wav,10930464,11007360.0,247.86,249.6,highfry,ebSxxr726_8
ebSxxr726_8.wav,11009952,11073616.0,249.66,251.1,lowfry,ebSxxr726_8
ebSxxr726_8.wav,11102688,11179584.0,251.76,253.51,highfry,ebSxxr726_8
ebSxxr726_8.wav,11233660,11350656.0,254.73,257.38,highfry,ebSxxr726_8
ebSxxr726_8.wav,11355560,11479607.0,257.5,260.31,clean,ebSxxr726_8
ebSxxr726_8.wav,12742646,12784600.0,288.95,289.9,midfry,ebSxxr726_8
ebSxxr726_8.wav,14350636,14464800.0,325.41,328.0,clean,ebSxxr726_8
ebSxxr726_8.wav,14466144,15080576.0,328.03,341.96,layered,ebSxxr726_8
ebSxxr726_8.wav,15083264,16573780.0,342.02,375.82,clean,ebSxxr726_8
ebSxxr726_8.wav,17861151,20514569.0,405.01,465.18,clean,ebSxxr726_8
ebSxxr726_8.wav,20623831,20897261.0,467.66,473.86,highfry,ebSxxr726_8
ebSxxr726_8.wav,21037743,21111835.0,477.05,478.73,clean,ebSxxr726_8
ebSxxr726_8.wav,21171200,21414912.0,480.07,485.6,clean,ebSxxr726_8
ebSxxr726_8.wav,21466112,21716352.0,486.76,492.43,clean,ebSxxr726_8
ebSxxr726_8.wav,21725568,22217856.0,492.64,503.81,highfry,ebSxxr726_8
ebSxxr726_8.wav,22228224,22344440.0,504.04,506.68,clean,ebSxxr726_8
ebSxxr726_8.wav,22345792,22588616.0,506.71,512.21,highfry,ebSxxr726_8
ebSxxr726_8.wav,22613010,22718444.0,512.77,515.16,highfry,ebSxxr726_8
ebSxxr726_8.wav,22742898,22864000.0,515.71,518.46,highfry,ebSxxr726_8
ebSxxr726_8.wav,22865136,22973978.0,518.48,520.95,clean,ebSxxr726_8
iVvXB-Vwnco.wav,1667682,1775687.0,37.82,40.27,midfry,iVvXB-Vwnco
iVvXB-Vwnco.wav,1827657,2083022.0,41.44,47.23,midfry,iVvXB-Vwnco
iVvXB-Vwnco.wav,2106021,2224892.0,47.76,50.45,midfry,iVvXB-Vwnco
iVvXB-Vwnco.wav,2245551,2393949.0,50.92,54.28,midfry,iVvXB-Vwnco
iVvXB-Vwnco.wav,2403439,2548269.0,54.5,57.78,midfry,iVvXB-Vwnco
iVvXB-Vwnco.wav,2558721,2861227.0,58.02,64.88,midfry,iVvXB-Vwnco
iVvXB-Vwnco.wav,2923380,3110851.0,66.29,70.54,clean,iVvXB-Vwnco
iVvXB-Vwnco.wav,3161964,3590641.0,71.7,81.42,clean,iVvXB-Vwnco
iVvXB-Vwnco.wav,3641493,3956815.0,82.57,89.72,clean,iVvXB-Vwnco
iVvXB-Vwnco.wav,4313006,4572104.0,97.8,103.68,midfry,iVvXB-Vwnco
iVvXB-Vwnco.wav,4611189,4864167.0,104.56,110.3,midfry,iVvXB-Vwnco
iVvXB-Vwnco.wav,5035183,5078651.0,114.18,115.16,midfry,iVvXB-Vwnco
iVvXB-Vwnco.wav,5123999,5221322.0,116.19,118.4,midfry,iVvXB-Vwnco
iVvXB-Vwnco.wav,5286335,5467493.0,119.87,123.98,midfry,iVvXB-Vwnco
iVvXB-Vwnco.wav,7454895,7652793.0,169.05,173.53,clean,iVvXB-Vwnco
iVvXB-Vwnco.wav,7696330,8137272.0,174.52,184.52,clean,iVvXB-Vwnco
iVvXB-Vwnco.wav,8181189,8498224.0,185.51,192.7,clean,iVvXB-Vwnco
F3A_3c882us.wav,63200,141056.0,1.32,2.94,lowfry,F3A_3c882us
F3A_3c882us.wav,149248,376320.0,3.11,7.84,highfry,F3A_3c882us
F3A_3c882us.wav,403200,573408.0,8.4,11.95,highfry,F3A_3c882us
F3A_3c882us.wav,574416,737920.0,11.97,15.37,lowfry,F3A_3c882us
F3A_3c882us.wav,744640,864000.0,15.51,18.0,highfry,F3A_3c882us
F3A_3c882us.wav,864576,1081856.0,18.01,22.54,lowfry,F3A_3c882us
F3A_3c882us.wav,1086464,1205914.0,22.63,25.12,highfry,F3A_3c882us
F3A_3c882us.wav,1207136,1936512.0,25.15,40.34,layered,F3A_3c882us
F3A_3c882us.wav,2623840,2788704.0,54.66,58.1,lowfry,F3A_3c882us
F3A_3c882us.wav,2792448,2910080.0,58.18,60.63,highfry,F3A_3c882us
F3A_3c882us.wav,2910880,3129408.0,60.64,65.2,lowfry,F3A_3c882us
F3A_3c882us.wav,3134208,3250464.0,65.3,67.72,highfry,F3A_3c882us
F3A_3c882us.wav,3251920,3306960.0,67.75,68.9,lowfry,F3A_3c882us
F3A_3c882us.wav,3987456,4692502.0,83.07,97.76,lowfry,F3A_3c882us
F3A_3c882us.wav,5355449,5436724.0,111.57,113.27,lowfry,F3A_3c882us
F3A_3c882us.wav,5438720,5669553.0,113.31,118.12,highfry,F3A_3c882us
F3A_3c882us.wav,5692928,5886752.0,118.6,122.64,highfry,F3A_3c882us
F3A_3c882us.wav,6526537,7254823.0,135.97,151.14,lowfry,F3A_3c882us
F3A_3c882us.wav,7418671,7464718.0,154.56,155.51,lowfry,F3A_3c882us
F3A_3c882us.wav,7586816,8056855.0,158.06,167.85,lowfry,F3A_3c882us
1gpfzCxiQ-A.wav,1382400,1569600.0,31.35,35.59,midfry,1gpfzCxiQ-A
1gpfzCxiQ-A.wav,1633600,1792960.0,37.04,40.66,midfry,1gpfzCxiQ-A
1gpfzCxiQ-A.wav,1828160,2022080.0,41.45,45.85,midfry,1gpfzCxiQ-A
1gpfzCxiQ-A.wav,2048640,2245120.0,46.45,50.91,midfry,1gpfzCxiQ-A
1gpfzCxiQ-A.wav,2717440,2911040.0,61.62,66.01,midfry,1gpfzCxiQ-A
1gpfzCxiQ-A.wav,2948800,3126080.0,66.87,70.89,midfry,1gpfzCxiQ-A
1gpfzCxiQ-A.wav,3164800,3339840.0,71.76,75.73,midfry,1gpfzCxiQ-A
1gpfzCxiQ-A.wav,3353280,3562240.0,76.04,80.78,midfry,1gpfzCxiQ-A
1gpfzCxiQ-A.wav,3577280,3695680.0,81.12,83.8,midfry,1gpfzCxiQ-A
1gpfzCxiQ-A.wav,3805440,3909120.0,86.29,88.64,midfry,1gpfzCxiQ-A
1gpfzCxiQ-A.wav,4023040,4141440.0,91.23,93.91,midfry,1gpfzCxiQ-A
1gpfzCxiQ-A.wav,4247360,4348480.0,96.31,98.6,midfry,1gpfzCxiQ-A
1gpfzCxiQ-A.wav,4959360,5127180.0,112.46,116.26,midfry,1gpfzCxiQ-A
1gpfzCxiQ-A.wav,5157660,5223680.0,116.95,118.45,midfry,1gpfzCxiQ-A
1gpfzCxiQ-A.wav,5242240,5361042.0,118.87,121.57,midfry,1gpfzCxiQ-A
1gpfzCxiQ-A.wav,6269760,6463188.0,142.17,146.56,midfry,1gpfzCxiQ-A
1gpfzCxiQ-A.wav,6493120,6560640.0,147.24,148.77,midfry,1gpfzCxiQ-A
1gpfzCxiQ-A.wav,6576000,6650560.0,149.12,150.81,midfry,1gpfzCxiQ-A
