file_name	sample_start	sample_end	timestamp_start	timestamp_end	scream_type	video_id	audio
4600fGWcn9o.wav	1579017	1999183	35.81	45.33	midfry	4600fGWcn9o	"[ 0.31913205  0.3460799   0.35163427 ... -0.49027985 -0.46531571
 -0.44335765]"
4600fGWcn9o.wav	2020012	2152867	45.81	48.82	midfry	4600fGWcn9o	"[-0.32005566 -0.29227193 -0.20947124 ... -0.12982048 -0.12099758
 -0.13497355]"
4600fGWcn9o.wav	2161887	2486176	49.02	56.38	midfry	4600fGWcn9o	"[-0.43057039 -0.41286966 -0.35982849 ...  0.32882168  0.43792535
  0.60017701]"
4600fGWcn9o.wav	2488192	2795520	56.42	63.39	clean	4600fGWcn9o	[0.14267403 0.29718925 0.41744743 ... 0.70273446 0.66843165 0.62721641]
4600fGWcn9o.wav	2797600	3030794	63.44	68.73	midfry	4600fGWcn9o	"[-0.05304117 -0.11307108 -0.08723716 ...  0.06765954  0.09024323
  0.10710471]"
4600fGWcn9o.wav	3038213	3084672	68.89	69.95	midfry	4600fGWcn9o	[0.46936141 0.41987309 0.36094435 ... 0.31293353 0.3238981  0.31075617]
4600fGWcn9o.wav	3086592	3142852	69.99	71.27	midfry	4600fGWcn9o	"[-0.51964865 -0.57112689 -0.71292159 ...  0.08668972  0.03309971
  0.00581502]"
4600fGWcn9o.wav	3156480	3217717	71.58	72.96	midfry	4600fGWcn9o	"[ 0.07060454  0.05136149  0.03839268 ... -0.47693481 -0.32599524
 -0.25867572]"
4600fGWcn9o.wav	3230384	3363072	73.25	76.26	midfry	4600fGWcn9o	"[-0.13642479 -0.09804911 -0.09678011 ...  0.14669908  0.0797939
  0.10538788]"
4600fGWcn9o.wav	3376896	3496994	76.57	79.3	midfry	4600fGWcn9o	"[ 0.37620167  0.20516068 -0.01713614 ... -0.06012146 -0.05824458
 -0.09547716]"
4600fGWcn9o.wav	3518047	3637451	79.77	82.48	midfry	4600fGWcn9o	[0.27314066 0.30455947 0.30335398 ... 0.3125248  0.25290689 0.30130924]
4600fGWcn9o.wav	3661895	3727691	83.04	84.53	midfry	4600fGWcn9o	"[ 0.06101377  0.05558511  0.0810388  ...  0.10508448  0.00700876
 -0.05148623]"
4600fGWcn9o.wav	3742966	3873408	84.87	87.83	midfry	4600fGWcn9o	"[ 0.32328994  0.37309291  0.51454375 ... -0.13228146 -0.19287916
 -0.23441741]"
4600fGWcn9o.wav	3886464	3926274	88.13	89.03	midfry	4600fGWcn9o	[0.1633198  0.18085269 0.18030335 ... 0.36820582 0.50669881 0.37218848]
4600fGWcn9o.wav	3940992	4080768	89.36	92.53	midfry	4600fGWcn9o	[0.27347636 0.24758141 0.20200201 ... 0.05844295 0.0446028  0.05015717]
4600fGWcn9o.wav	4087040	4400064	92.68	99.77	clean	4600fGWcn9o	"[ 0.30570391  0.23348186  0.16853847 ... -0.21941282 -0.17030854
 -0.21796319]"
4600fGWcn9o.wav	4408128	4662784	99.96	105.73	midfry	4600fGWcn9o	"[ 0.03053718  0.13730934  0.23957803 ... -0.44372985 -0.45068554
 -0.5069634 ]"
4600fGWcn9o.wav	4668416	4985208	105.86	113.04	clean	4600fGWcn9o	"[ 0.43762017  0.52732933  0.59604175 ... -0.376339   -0.45889157
 -0.56431776]"
4600fGWcn9o.wav	4995694	5245058	113.28	118.94	midfry	4600fGWcn9o	"[-0.04795984 -0.25495163 -0.45646535 ...  0.28618732  0.28348643
  0.17839595]"
4600fGWcn9o.wav	6073994	6411733	137.73	145.39	midfry	4600fGWcn9o	"[-0.10829124 -0.0838433   0.0096754  ... -0.54693485 -0.49194988
 -0.35296901]"
4600fGWcn9o.wav	6434499	6850057	145.91	155.33	midfry	4600fGWcn9o	[0.08011109 0.08334605 0.09163182 ... 0.10042116 0.14746544 0.28923917]
4600fGWcn9o.wav	6882233	6997760	156.06	158.68	midfry	4600fGWcn9o	[0.00075218 0.00092104 0.00075218 ... 0.56335196 0.37794732 0.2071718 ]
4600fGWcn9o.wav	7008320	7175040	158.92	162.7	midfry	4600fGWcn9o	"[-0.28057086 -0.28184013 -0.2772429  ...  0.07719336  0.07015046
  0.09668132]"
4600fGWcn9o.wav	7175552	7201440	162.71	163.3	midfry	4600fGWcn9o	"[-0.79478269 -0.75890979 -0.70000468 ...  0.3406679   0.30318991
  0.11734272]"
4600fGWcn9o.wav	7202448	7402970	163.32	167.87	midfry	4600fGWcn9o	[0.44408026 0.541017   0.51165569 ... 0.37184868 0.37151172 0.31540818]
4600fGWcn9o.wav	7828361	8357611	177.51	189.51	midfry	4600fGWcn9o	"[ 0.11763359  0.09179968  0.04522843 ... -0.4558092  -0.46945097
 -0.41967528]"
